method,family,n,p,seed,tol,d,m,cut,approx_ratio,params_opt,rank,refreshes,forward_F,jvp,vjp,wall_s
fixed_rank_oracle,ring,8,1,2,,16,8,5.91455,0.739319,8,8,0,100,0,100,0.1585
rsq,ring,8,1,2,0.1,16,8,6.488341,0.811043,8,8,3,160,80,334,0.6957
rsq,ring,8,1,2,0.01,16,8,6.488341,0.811043,8,8,3,160,80,334,0.6977
rsq_adjoint_free,ring,8,1,2,,16,8,6.465974,0.808247,8,8,3,272,136,0,0.2636
full_maqaoa,ring,8,2,0,,32,8,6.999471,0.874934,32,,0,100,0,100,0.2756
symmetry,ring,8,2,0,,32,8,6.666621,0.833328,4,,0,100,0,100,0.2842
fixed_rank_oracle,ring,8,2,0,,32,8,5.773775,0.721722,8,8,0,100,0,100,0.2911
rsq,ring,8,2,0,0.1,32,8,6.500713,0.812589,8,8,3,160,80,334,1.3089
rsq,ring,8,2,0,0.01,32,8,6.500713,0.812589,8,8,3,160,80,334,1.3168
rsq_adjoint_free,ring,8,2,0,,32,8,6.334612,0.791826,8,8,3,288,144,0,0.5102
full_maqaoa,ring,8,2,1,,32,8,6.999955,0.874994,32,,0,100,0,100,0.2769
symmetry,ring,8,2,1,,32,8,6.617284,0.827161,4,,0,100,0,100,0.2875
fixed_rank_oracle,ring,8,2,1,,32,8,6.24604,0.780755,8,8,0,100,0,100,0.2945
rsq,ring,8,2,1,0.1,32,8,6.949329,0.868666,8,8,3,160,80,334,1.3099
rsq,ring,8,2,1,0.01,32,8,6.949329,0.868666,8,8,3,160,80,334,1.289
rsq_adjoint_free,ring,8,2,1,,32,8,6.517671,0.814709,8,8,3,288,144,0,0.4705
full_maqaoa,ring,8,2,2,,32,8,6.999885,0.874986,32,,0,100,0,100,0.2667
symmetry,ring,8,2,2,,32,8,6.54206,0.817757,4,,0,100,0,100,0.2761
fixed_rank_oracle,ring,8,2,2,,32,8,6.048817,0.756102,8,8,0,100,0,100,0.2833
rsq,ring,8,2,2,0.1,32,8,6.796111,0.849514,8,8,3,160,80,334,1.2679
rsq,ring,8,2,2,0.01,32,8,6.796111,0.849514,8,8,3,160,80,334,1.2675
rsq_adjoint_free,ring,8,2,2,,32,8,6.431236,0.803904,8,8,3,288,144,0,0.4818
full_maqaoa,ring,10,1,0,,20,10,7.99985,0.799985,20,,0,100,0,100,0.1866
symmetry,ring,10,1,0,,20,10,7.499907,0.749991,2,,0,100,0,100,0.1919
fixed_rank_oracle,ring,10,1,0,,20,10,7.196481,0.719648,8,8,0,100,0,100,0.1996
rsq,ring,10,1,0,0.1,20,10,7.98613,0.798613,10,10,3,192,96,348,0.9262
rsq,ring,10,1,0,0.01,20,10,7.967678,0.796768,10,10,3,208,104,376,0.9771
rsq_adjoint_free,ring,10,1,0,,20,10,7.900817,0.790082,8,8,3,288,144,0,0.3547
full_maqaoa,ring,10,1,1,,20,10,7.999946,0.799995,20,,0,100,0,100,0.184
symmetry,ring,10,1,1,,20,10,7.49997,0.749997,2,,0,100,0,100,0.1917
fixed_rank_oracle,ring,10,1,1,,20,10,7.303138,0.730314,8,8,0,100,0,100,0.1978
rsq,ring,10,1,1,0.1,20,10,7.984659,0.798466,10,10,3,208,104,376,0.9687
rsq,ring,10,1,1,0.01,20,10,7.98103,0.798103,10,10,3,216,108,390,1.0169
rsq_adjoint_free,ring,10,1,1,,20,10,7.980588,0.798059,8,8,3,288,144,0,0.3307
full_maqaoa,ring,10,1,2,,20,10,7.99977,0.799977,20,,0,100,0,100,0.1805
symmetry,ring,10,1,2,,20,10,7.499773,0.749977,2,,0,100,0,100,0.1965
fixed_rank_oracle,ring,10,1,2,,20,10,6.898536,0.689854,8,8,0,100,0,100,0.2015
rsq,ring,10,1,2,0.1,20,10,7.986402,0.79864,10,10,3,200,100,362,0.9563
rsq,ring,10,1,2,0.01,20,10,7.969675,0.796967,10,10,3,216,108,390,1.0157
rsq_adjoint_free,ring,10,1,2,,20,10,7.730052,0.773005,8,8,3,288,144,0,0.3555
full_maqaoa,ring,10,2,0,,40,10,8.49989,0.849989,40,,0,100,0,100,0.3532
symmetry,ring,10,2,0,,40,10,8.333276,0.833328,4,,0,100,0,100,0.3678
fixed_rank_oracle,ring,10,2,0,,40,10,7.578746,0.757875,8,8,0,100,0,100,0.3698
rsq,ring,10,2,0,0.1,40,10,8.417515,0.841752,10,10,3,208,104,376,1.8864
rsq,ring,10,2,0,0.01,40,10,8.417791,0.841779,10,10,3,216,108,390,1.9406
rsq_adjoint_free,ring,10,2,0,,40,10,7.92885,0.792885,8,8,3,288,144,0,0.6354
full_maqaoa,ring,10,2,1,,40,10,8.500499,0.85005,40,,0,100,0,100,0.3422
symmetry,ring,10,2,1,,40,10,8.271606,0.827161,4,,0,100,0,100,0.3753
fixed_rank_oracle,ring,10,2,1,,40,10,6.70164,0.670164,8,8,0,100,0,100,0.3792
rsq,ring,10,2,1,0.1,40,10,8.000091,0.800009,10,10,3,200,100,362,1.8192
rsq,ring,10,2,1,0.01,40,10,8.010373,0.801037,10,10,3,216,108,390,1.9234
rsq_adjoint_free,ring,10,2,1,,40,10,7.905625,0.790562,8,8,3,288,144,0,0.6789
full_maqaoa,ring,10,2,2,,40,10,8.500183,0.850018,40,,0,100,0,100,0.3624
symmetry,ring,10,2,2,,40,10,8.177575,0.817757,4,,0,100,0,100,0.3618
fixed_rank_oracle,ring,10,2,2,,40,10,7.230451,0.723045,8,8,0,100,0,100,0.374
rsq,ring,10,2,2,0.1,40,10,8.404088,0.840409,10,10,3,216,108,390,1.9594
rsq,ring,10,2,2,0.01,40,10,8.419382,0.841938,10,10,3,256,128,460,2.249
rsq_adjoint_free,ring,10,2,2,,40,10,7.975054,0.797505,8,8,3,288,144,0,0.6832
